State,Group,Intent.to.Enroll.Score_nmean,Intent.to.Enroll.Score_sd,Community.College.Score_nmean,Community.College.Score_sd,University.Score_nmean,University.Score_sd,Vocational.or.Technical.School.Score_nmean,Vocational.or.Technical.School.Score_sd,Hybrid.Education.Score_nmean,Hybrid.Education.Score_sd,All.Online.Education.Score_nmean,All.Online.Education.Score_sd,Intent.to.Seek.New.Job.Score_nmean,Intent.to.Seek.New.Job.Score_sd,n,n.Intent.Score.Over.50,prop.Intent.Score.Over.50
KS,"KS: ATCHISON, KS",36.4510135135135,21.0266126326084,52.2944157392687,11.0178711944194,49.1134737678855,11.6561949173823,56.591713036566,16.3741814401322,47.0506756756757,17.9888284350374,45.5140103338633,15.7339439873129,,,10064,3471,0.344892686804452
KS,"KS: COFFEYVILLE, KS",38.9044519956229,21.9616783111284,51.0287392731671,6.33114827596575,47.432298565916,10.5725974145692,57.2202384380579,15.162134551852,48.547370846052,17.7340192170978,44.6008754247538,15.9655992979615,,,17363,6276,0.361458273339861
KS,"KS: DODGE CITY, KS",49.1970198675497,21.7588893601755,54.310826374892,7.72010479984548,51.4420529801325,11.6781964185163,57.8738122660524,15.1949910875374,51.0027353872733,17.9614323296384,49.1148862654765,14.087912225035,,,13892,7112,0.511949323351569
KS,"KS: EMPORIA, KS",38.5821183642367,22.637624108609,39.0233680467361,6.16974895841318,51.8701041402083,12.3493952199549,61.6442468884938,15.2915539657175,47.8683769367539,18.2191049070267,43.6696977393955,15.0872224878189,,,19685,7307,0.371196342392685
KS,"KS: GARDEN CITY, KS",50.8315627950897,22.639609667172,56.4521364494807,7.93233789354243,43.0408404154863,12.6122317768597,63.1293083097262,15.3122445833038,49.0275613786591,17.7503261798816,43.8220018885741,13.9023524367443,,,16944,8918,0.526322001888574
KS,"KS: GREAT BEND, KS",37.6239755351682,21.8990368428043,52.3837308868502,8.71191096423977,46.736880733945,11.5756098528543,56.211131498471,14.9433844481394,44.9207339449541,18.9257384324935,44.7488685015291,15.9973789332486,,,16350,5664,0.346422018348624
KS,"KS: HAYS, KS",36.7904162035322,20.821539518261,45.5747190317402,9.02873573192362,50.7760899098432,10.8425858883646,53.1544399160183,14.5675612969301,47.9428800790416,15.6630955189157,45.2239100901569,15.0516640525192,,,16194,5500,0.33963196245523
KS,"KS: HUTCHINSON, KS",36.165302994883,21.1146208137436,34.5402477986441,8.70755759089859,48.4610249616873,11.3899884629081,60.199070105717,14.2712313130126,44.378217616042,18.0829730927568,42.7037585391828,15.8393363163542,,,38499,12579,0.326735759370373
KS,"KS: KANSAS CITY, MO-KS",37.3990393199017,19.9284664545298,41.7646282257289,8.26125322855999,48.8639219644844,12.104987234991,59.5090351310892,14.3089570800918,49.1957926469175,15.9139071142733,43.7900151758615,15.1966928561625,,,582504,190552,0.327125650639309
KS,"KS: LAWRENCE, KS",38.5067781619362,21.4296264914679,41.880678620246,9.44146707781878,47.8012382407333,12.6106126805283,56.4969043981668,15.4219803121384,50.1692369542494,16.394405060143,43.7414489024684,15.1859835744121,,,62185,21182,0.340628768995739
KS,"KS: LIBERAL, KS",49.9819531696174,22.167192259734,52.3324957167333,4.86013076231473,50.8061679040548,11.853775860999,55.690919474586,15.2659824529375,48.005711022273,17.6511964968717,43.7840091376356,14.4694717006297,,,8755,4503,0.514334665905197
KS,"KS: MANHATTAN, KS",39.5350451201392,21.7875035451944,39.4798137208712,7.30434444156559,51.3528249918458,12.2288032368382,57.3771971152104,15.400766978832,51.4319755010329,16.7040612310751,44.5688942847824,14.7952560808996,,,55186,21616,0.391693545464429
KS,"KS: MCPHERSON, KS",32.7603495602487,19.3600628159194,31.5538625287099,7.12629942420311,52.1480589322727,10.625258422277,59.4131421208896,15.8246201769765,46.9573133157806,17.6042703514702,43.9552406027674,15.4444685868275,,,17851,4754,0.266315612570724
KS,"KS: PARSONS, KS",38.952041477641,20.6058633607327,48.6540829552819,6.1910686586889,50.1478451069345,10.7529887382748,57.2965003240441,15.4189667642895,48.7301523007129,17.8574162652358,46.176360985094,15.6726184778885,,,12344,4329,0.350696694750486
KS,"KS: PITTSBURG, KS",36.7923892100193,21.0125497834352,45.8048257137853,6.90407580172718,53.1285251357506,11.07908110105,58.2486424943072,15.9045849537005,46.2552548607462,17.618680890774,45.1040900332808,15.392828000156,,,22836,7729,0.338456822560869
KS,"KS: SALINA, KS",32.427512079167,20.1141710399641,32.0770999664109,6.85620848527498,51.422525385629,10.8900450667434,60.9463607472289,14.2586353793872,48.7657287548769,17.9483385661289,45.2551223419373,15.8363263948083,,,38703,10874,0.280960132289487
KS,"KS: ST. JOSEPH, MO-KS",34.6788340336135,19.1983837618091,35.9301470588235,8.85631471035906,53.1930147058824,10.7744399573154,58.6596638655462,16.0842845406827,49.2297794117647,16.3819971326383,44.8505777310924,15.2914765898738,,,3808,1073,0.281775210084034
KS,"KS: TOPEKA, KS",36.1237318629899,21.1491578247661,39.2178903946531,10.6118608073658,51.5920139007655,11.8490517256145,59.637047729154,15.633346370049,47.8813988329377,17.4486141804021,43.4428269450468,15.7330423673631,,,146179,47050,0.321865657857832
KS,"KS: WICHITA, KS",38.5647370352892,21.4806640746088,41.5367285407163,9.87714449618419,49.4077788264905,12.0784523899729,59.3614650516491,15.3015571521129,48.4377746316397,17.1302673179636,44.6370929683813,15.2010837474411,,,381420,136560,0.35803051753972
KS,"KS: WINFIELD, KS",40.12405002405,21.6247977154017,50.4794612794613,7.26089584646809,51.7367484367484,9.74435907349243,57.8756132756133,15.105880158739,47.5261183261183,17.2997351677074,45.3843193843194,15.9554874233808,,,20790,7843,0.377248677248677
KS,KS: NA_Gender,42.7104475093846,21.8768035696527,50.7303977392551,9.78447667140712,52.0364418575225,12.7288242792266,72.0487578556666,13.3307518034165,52.76468851491,22.6404956827871,54.8193934792695,21.6549067368172,,,23709,10603,0.44721413809102
